# _tick,_time,frames,mean_episode_return_actor,loss
0,1650005081.335209,0,-0.45945945382118225,58.74307632446289
1,1650005096.486114,3200,-0.4360789358615875,55.599525451660156
2,1650005112.016652,6400,-0.6772441267967224,43.77008819580078
3,1650005128.6905699,9600,-0.4611416459083557,52.954376220703125
4,1650005162.870464,12800,-0.14245828986167908,60.845882415771484
5,1650005181.70199,16000,0.027332870289683342,42.022586822509766
6,1650005198.775093,19200,0.06680887937545776,55.05350112915039
7,1650005216.140919,22400,0.15667204558849335,52.6196174621582
8,1650005233.850027,25600,0.24125835299491882,49.977867126464844
9,1650005261.690434,28800,0.4024728238582611,62.45652389526367
10,1650005283.477045,32000,0.373650461435318,37.52019119262695
11,1650005311.5721128,35200,0.4076041281223297,65.91448974609375
12,1650005351.610231,38400,0.5419915318489075,65.39389038085938
13,1650005374.934696,41600,0.631269097328186,50.73896408081055
14,1650005393.2457988,44800,0.7824504971504211,78.61792755126953
15,1650005412.551771,48000,0.94774329662323,66.37126159667969
16,1650005428.383189,51200,1.0838221311569214,82.8086166381836
17,1650005447.746864,54400,1.2055270671844482,56.46041488647461
18,1650005467.56448,57600,1.3026177883148193,87.31324005126953
19,1650005485.255214,60800,1.3869894742965698,75.3177490234375
20,1650005503.987932,64000,1.4651535749435425,69.37678527832031
21,1650005523.1701398,67200,1.617148518562317,72.61157989501953
22,1650005549.77214,70400,1.6983845233917236,68.20995330810547
23,1650005571.857414,73600,1.8442445993423462,88.41661071777344
24,1650005592.280612,76800,1.9355731010437012,67.37466430664062
25,1650005666.7755468,80000,2.028909206390381,74.01139831542969
26,1650005692.303318,83200,2.1581873893737793,94.7544174194336
27,1650005711.233214,86400,2.226566791534424,75.49188232421875
28,1650005725.995894,89600,2.332580804824829,75.1852798461914
29,1650005741.755786,92800,2.4690909385681152,124.33622741699219
30,1650005756.518241,96000,2.5826780796051025,67.16207122802734
31,1650005783.5616179,99200,2.7325315475463867,84.4922103881836
32,1650005807.100974,102400,2.817626714706421,85.88494110107422
33,1650005824.734942,105600,2.8687729835510254,73.379150390625
34,1650005842.095357,108800,2.9215610027313232,96.16964721679688
35,1650005858.016844,112000,2.9637451171875,54.52920913696289
36,1650005875.199832,115200,3.0337941646575928,72.15056610107422
37,1650005891.24667,118400,3.110215425491333,79.77236938476562
38,1650005906.253824,121600,3.192239999771118,106.83409118652344
39,1650005923.112902,124800,3.2323391437530518,68.06616973876953
40,1650005938.217758,128000,3.282404899597168,66.04055786132812
41,1650005954.230944,131200,3.356633186340332,80.6810073852539
42,1650005971.178725,134400,3.394965887069702,66.9124984741211
43,1650005987.9931462,137600,3.4405136108398438,75.39602661132812
44,1650006008.466573,140800,3.4631052017211914,74.47113037109375
45,1650006025.394012,144000,3.516716957092285,73.36306762695312
46,1650006040.2957,147200,3.5838050842285156,89.15994262695312
47,1650006060.805161,150400,3.6315383911132812,72.2589340209961
48,1650006097.848099,153600,3.698418378829956,88.1358871459961
49,1650006153.474814,156800,3.7619500160217285,82.6968765258789
50,1650006186.8973281,160000,3.7991724014282227,79.90328979492188
51,1650006236.793239,163200,3.8381993770599365,86.80093383789062
52,1650006263.375492,166400,3.8479061126708984,60.1269416809082
53,1650006282.099877,169600,3.8774912357330322,70.60143280029297
54,1650006296.343319,172800,3.907386302947998,62.85112380981445
55,1650006312.9041688,176000,3.9337401390075684,68.50714874267578
56,1650006327.070388,179200,3.9613022804260254,64.39173889160156
57,1650006340.7780879,182400,3.980926752090454,61.33076477050781
58,1650006355.04496,185600,3.9871740341186523,55.78311538696289
59,1650006370.616317,188800,4.006228446960449,58.79697799682617
60,1650006385.437388,192000,4.036893367767334,89.43761444091797
61,1650006400.452659,195200,4.07262659072876,76.18328857421875
62,1650006414.861015,198400,4.096992492675781,76.5751953125
63,1650006428.7145479,201600,4.137510299682617,84.11719512939453
64,1650006444.6234372,204800,4.159409523010254,57.365753173828125
65,1650006458.759556,208000,4.1862874031066895,75.83777618408203
66,1650006472.94703,211200,4.22564172744751,102.93299102783203
67,1650006487.764458,214400,4.2555317878723145,83.56372833251953
68,1650006503.608027,217600,4.275914192199707,68.04973602294922
69,1650006518.514444,220800,4.286876201629639,54.75563430786133
70,1650006534.548255,224000,4.295836448669434,59.38307189941406
71,1650006554.016434,227200,4.307235240936279,62.87569808959961
72,1650006569.399594,230400,4.331521987915039,81.84927368164062
73,1650006584.565804,233600,4.360697269439697,81.67512512207031
74,1650006598.4312792,236800,4.367641448974609,61.658756256103516
75,1650006612.3319628,240000,4.378745079040527,61.671531677246094
76,1650006626.881719,243200,4.3964924812316895,76.0591049194336
77,1650006640.4521291,246400,4.413515567779541,74.59358215332031
78,1650006655.2261949,249600,4.417492866516113,69.2809066772461
79,1650006668.948401,252800,4.436609268188477,62.72091293334961
80,1650006682.4085288,256000,4.453592777252197,72.57809448242188
81,1650006696.945158,259200,4.472043991088867,78.26195526123047
82,1650006711.940351,262400,4.48000431060791,58.16313934326172
83,1650006727.521507,265600,4.489470958709717,77.11200714111328
84,1650006741.703742,268800,4.4967474937438965,60.87663650512695
85,1650006754.66616,272000,4.4992451667785645,82.18993377685547
86,1650006769.574473,275200,4.511985778808594,65.81396484375
87,1650006784.166292,278400,4.508052349090576,59.19452667236328
88,1650006798.130631,281600,4.522899150848389,69.0848388671875
89,1650006811.893458,284800,4.535256385803223,66.23173522949219
90,1650006827.4355562,288000,4.544654369354248,58.2748908996582
91,1650006841.366122,291200,4.561800479888916,73.19405364990234
92,1650006855.800849,294400,4.600076675415039,99.19857788085938
93,1650006869.145786,297600,4.62165641784668,93.299560546875
94,1650006883.7589319,300800,4.640909194946289,77.0683364868164
95,1650006897.515506,304000,4.653703689575195,68.677978515625
96,1650006911.137262,307200,4.652416229248047,51.055824279785156
97,1650006923.832604,310400,4.673892974853516,69.82530975341797
98,1650006938.179591,313600,4.690433025360107,73.73127746582031
99,1650006951.709339,316800,4.714855670928955,66.24036407470703
100,1650006965.406312,320000,4.783116817474365,69.31875610351562
101,1650006978.619933,323200,4.843769550323486,60.35881042480469
102,1650006991.9213738,326400,4.925025463104248,78.9895248413086
103,1650007005.958117,329600,4.985381603240967,63.101837158203125
104,1650007019.685963,332800,5.021852016448975,54.691871643066406
105,1650007033.182165,336000,5.078159332275391,69.4500503540039
106,1650007047.064061,339200,5.147456169128418,75.61927032470703
107,1650007060.314091,342400,5.196249961853027,66.58240509033203
108,1650007074.737196,345600,5.248848915100098,61.77961349487305
109,1650007087.899735,348800,5.2848124504089355,55.4085807800293
110,1650007102.2418292,352000,5.3442792892456055,69.65831756591797
111,1650007117.063135,355200,5.394272327423096,54.389488220214844
112,1650007129.659874,358400,5.425994396209717,54.18144607543945
113,1650007144.778162,361600,5.477981090545654,78.87151336669922
114,1650007158.3144,364800,5.51406192779541,67.00117492675781
115,1650007171.476612,368000,5.531856060028076,61.48384094238281
116,1650007185.501385,371200,5.562451362609863,59.01277160644531
117,1650007199.889976,374400,5.593257427215576,56.080955505371094
118,1650007213.8681521,377600,5.62409782409668,65.22395324707031
119,1650007227.309551,380800,5.6432785987854,45.757049560546875
120,1650007241.92116,384000,5.677087783813477,76.21065521240234
121,1650007256.381388,387200,5.686201095581055,65.4477767944336
122,1650007269.618182,390400,5.721961498260498,68.14185333251953
123,1650007283.586325,393600,5.733668327331543,60.97971725463867
124,1650007297.080275,396800,5.757749080657959,74.97823333740234
125,1650007310.976203,400000,5.780905246734619,63.877323150634766
126,1650007324.2518349,403200,5.788361072540283,61.02790832519531
127,1650007338.116693,406400,5.817351818084717,71.87910461425781
128,1650007377.316781,409600,5.831912040710449,78.14295959472656
129,1650007395.8928158,412800,5.815719127655029,54.18533706665039
130,1650007413.2696939,416000,5.816773891448975,74.5562973022461
131,1650007430.864937,419200,5.80361270904541,61.31499481201172
132,1650007448.369456,422400,5.812901020050049,84.44688415527344
